"sample_id","anem_id","old_anem_id"
"APCL16_389",2420,NA
"APCL16_395",2421,NA
"APCL16_401",2422,NA
"APCL16_406",NA,NA
"APCL16_411",2423,NA
"APCL16_417",NA,NA
"APCL16_425",2424,523
"APCL16_429",NA,NA
"APCL16_431",2425,512
"APCL16_433",2426,NA
"APCL16_439",2428,NA
"APCL16_445",2431,1116
"APCL16_448",2433,938
"APCL16_456",2437,NA
"APCL16_466",2444,934
"APCL16_460",2441,NA
"APCL16_463",2442,NA
"APCL16_469",2445,472
"APCL16_472",2446,NA
"APCL16_474",2447,954
"APCL16_481",2448,955
"APCL16_486",NA,NA
"APCL16_492",NA,NA
"APCL16_497",2449,NA
"APCL16_501",2450,936
"APCL16_500",2451,NA
"APCL16_505",2453,NA
"APCL16_513",2462,NA
"APCL16_518",2464,NA
"APCL16_520",2465,601
"APCL16_523",2469,NA
"APCL16_525",2060,NA
"APCL16_530",2471,NA
"APCL16_479",2473,597
"APCL16_538",NA,NA
"APCL16_543",2474,NA
"APCL16_545",2476,595
"APCL16_548",2479,NA
"APCL16_550",2480,1122
"APCL16_552",2481,NA
"APCL16_558",2483,NA
"APCL16_559",2484,1119
"APCL16_561",2477,873
"APCL16_567",2490,428
"APCL16_572",423,NA
"APCL16_581",2495,NA
"APCL16_578",2494,NA
"APCL16_583",2495,240
"APCL16_586",2498,NA
"APCL16_589",2069,NA
"APCL16_593",2500,NA
"APCL16_599",2501,NA
"APCL16_601",2072,NA
"APCL16_609",2503,691
"APCL16_616",NA,NA
"APCL16_621",2504,NA
"APCL16_628",2505,930
"APCL16_635",NA,NA
"APCL16_644",2507,NA
"APCL16_647",2509,NA
"APCL16_654",NA,NA
"APCL16_661",NA,NA
"APCL16_665",2512,NA
"APCL16_668",2514,NA
"APCL16_670",2515,NA
"APCL16_672",2516,NA
"APCL16_679",2522,NA
"APCL16_683",2525,NA
"APCL16_689",2149,NA
"APCL16_694",2530,NA
"APCL16_696",2153,NA
"APCL16_699",2531,NA
"APCL16_700",2532,NA
"APCL16_704",2157,NA
"APCL16_711",NA,NA
"APCL16_714",2536,NA
"APCL16_716",2537,NA
"APCL16_725",2544,738
"APCL16_728",2545,NA
"APCL16_732",2548,741
"APCL16_736",2548,NA
"APCL16_740",2551,781
"APCL16_742",2552,NA
"APCL16_743",2553,NA
"APCL16_746",2161,NA
"APCL16_748",2135,NA
"APCL16_757",2554,NA
"APCL16_759",2557,NA
"APCL16_761",2559,NA
"APCL16_764",2564,NA
"APCL16_767",2560,757
"APCL16_776",2203,NA
"APCL16_777",2010,NA
"APCL16_784",2216,NA
"APCL16_787",2222,NA
"APCL16_789",2218,NA
"APCL16_792",881,NA
"APCL16_797",2578,NA
"APCL16_800",2036,NA
"APCL16_804",2037,NA
"APCL16_806",2579,NA
"APCL16_815",NA,NA
"APCL16_005",2177,494
"APCL16_008",2178,402
"APCL16_018",2183,NA
"APCL16_042",1033,NA
"APCL16_043",2005,NA
"APCL16_050",495,NA
"APCL16_061",2200,NA
"APCL16_073",2014,NA
"APCL16_067",2201,960
"APCL16_077",2206,128
"APCL16_143",2243,389
"APCL16_148",2246,849
"APCL16_158",2257,NA
"APCL16_167",2258,NA
"APCL16_170",2259,NA
"APCL16_174",2261,NA
"APCL16_181",2265,NA
"APCL16_211",2278,NA
"APCL16_218",2282,NA
"APCL16_240",2292,NA
"APCL16_248",NA,NA
"APCL16_256",2029,NA
"APCL16_259",2294,NA
"APCL16_287",2306,701
"APCL16_292",2309,NA
"APCL16_319",2401,NA
"APCL16_325",NA,NA
"APCL16_331",2402,NA
"APCL16_340",2408,NA
"APCL16_349",2131,NA
"APCL16_353",2412,1092
"APCL16_359",NA,NA
"APCL16_365",NA,NA
"APCL16_380",2417,NA
"APCL16_384",2418,NA
"APCL16_390",2420,NA
"APCL16_396",2421,NA
"APCL16_402",2422,NA
"APCL16_407",NA,NA
"APCL16_412",2423,NA
"APCL16_418",NA,NA
"APCL16_422",2254,NA
"APCL16_426",2424,523
"APCL16_437",2426,NA
"APCL16_440",2428,NA
"APCL16_449",2433,938
"APCL16_457",2437,NA
"APCL16_461",2441,NA
"APCL16_470",2445,472
"APCL16_473",2446,NA
"APCL16_475",2447,954
"APCL16_482",2448,955
"APCL16_487",NA,NA
"APCL16_493",NA,NA
"APCL16_502",2451,NA
"APCL16_527",2469,600
"APCL16_528",2470,NA
"APCL16_533",2473,597
"APCL16_539",NA,NA
"APCL16_553",2481,NA
"APCL16_562",2477,873
"APCL16_568",2490,428
"APCL16_573",423,NA
"APCL16_590",2069,NA
"APCL16_594",2500,NA
"APCL16_602",2072,NA
"APCL16_610",2503,691
"APCL16_617",NA,NA
"APCL16_622",2504,NA
"APCL16_629",2505,930
"APCL16_636",NA,NA
"APCL16_648",2509,NA
"APCL16_655",NA,NA
"APCL16_684",2525,NA
"APCL16_690",2149,NA
"APCL16_691",2529,NA
"APCL16_705",2157,NA
"APCL16_726",2544,738
"APCL16_737",2548,NA
"APCL16_744",2553,NA
"APCL16_754",2136,NA
"APCL16_762",2559,NA
"APCL16_768",2560,757
"APCL16_772",2002,NA
"APCL16_798",2578,NA
"APCL16_801",2036,NA
"APCL16_807",2579,NA
"APCL16_814",NA,NA
"APCL16_071",2014,NA
"APCL16_200",2274,NA
"APCL16_249",NA,NA
"APCL16_260",2294,NA
"APCL16_288",2306,701
"APCL16_320",2401,NA
"APCL16_326",NA,NA
"APCL16_354",2412,1092
"APCL16_360",NA,NA
"APCL16_366",NA,NA
"APCL16_381",2417,NA
"APCL16_391",2420,NA
"APCL16_399",2421,NA
"APCL16_403",2422,NA
"APCL16_408",NA,NA
"APCL16_413",2423,NA
"APCL16_423",2254,NA
"APCL16_427",2424,523
"APCL16_434",2426,NA
"APCL16_441",2428,NA
"APCL16_450",2433,938
"APCL16_467",2444,934
"APCL16_476",2447,954
"APCL16_483",2448,955
"APCL16_488",NA,NA
"APCL16_494",NA,NA
"APCL16_506",2453,NA
"APCL16_514",2462,NA
"APCL16_554",2473,597
"APCL16_540",NA,NA
"APCL16_554",2481,NA
"APCL16_569",2490,428
"APCL16_574",423,NA
"APCL16_579",2494,NA
"APCL16_591",2069,NA
"APCL16_595",2500,NA
"APCL16_603",2072,NA
"APCL16_611",2503,691
"APCL16_618",NA,NA
"APCL16_623",2504,NA
"APCL16_630",2505,930
"APCL16_637",NA,NA
"APCL16_649",2509,NA
"APCL16_656",NA,NA
"APCL16_692",2529,NA
"APCL16_706",2157,NA
"APCL16_738",2548,NA
"APCL16_749",2135,NA
"APCL16_755",2136,NA
"APCL16_769",2560,757
"APCL16_250",NA,NA
"APCL16_261",2294,NA
"APCL16_298",2306,701
"APCL16_321",2401,NA
"APCL16_327",NA,NA
"APCL16_355",2412,1092
"APCL16_361",NA,NA
"APCL16_367",NA,NA
"APCL16_392",2420,NA
"APCL16_397",2421,NA
"APCL16_404",2422,NA
"APCL16_409",NA,NA
"APCL16_414",2423,NA
"APCL16_435",2426,NA
"APCL16_451",2433,938
"APCL16_477",2447,954
"APCL16_489",NA,NA
"APCL16_495",NA,NA
"APCL16_515",2462,NA
"APCL16_535",2473,597
"APCL16_596",2500,NA
"APCL16_604",2072,NA
"APCL16_612",2503,691
"APCL16_619",NA,NA
"APCL16_624",2504,NA
"APCL16_631",2505,930
"APCL16_638",NA,NA
"APCL16_650",2509,NA
"APCL16_657",NA,NA
"APCL16_707",2157,NA
"APCL16_750",2135,NA
"APCL16_251",NA,NA
"APCL16_262",2294,NA
"APCL16_322",2401,NA
"APCL16_328",NA,NA
"APCL16_356",2412,1092
"APCL16_362",NA,NA
"APCL16_368",NA,NA
"APCL16_398",2421,NA
"APCL16_405",2422,NA
"APCL16_415",2423,NA
"APCL16_436",2426,NA
"APCL16_984",2448,955
"APCL16_490",NA,NA
"APCL16_536",2473,597
"APCL16_605",2072,NA
"APCL16_613",2503,691
"APCL16_625",2504,NA
"APCL16_632",2505,930
"APCL16_639",NA,NA
"APCL16_651",2509,NA
"APCL16_658",NA,NA
"APCL16_708",2157,NA
"APCL16_751",2135,NA
"APCL16_263",2294,NA
"APCL16_606",2072,NA
"APCL16_614",2503,691
"APCL16_626",2504,NA
"APCL16_633",2505,930
"APCL16_640",NA,NA
"APCL16_652",2509,NA
"APCL16_659",NA,NA
"APCL16_709",2157,NA
"APCL16_752",2135,NA
"APCL15_374542",776,NA
"APCL15_001",1338,NA
"APCL15_371463",1285,NA
"APCL15_375747",1284,NA
"APCL15_375526",1287,NA
"APCL15_406794",2001,1030
"APCL15_371626",NA,NA
"APCL15_371588",2002,NA
"APCL15_375516",1029,NA
"APCL15_375267",1028,NA
"APCL15_371511",2003,NA
"APCL15_376294",2005,NA
"APCL15_374415",2006,NA
"APCL15_374393",2007,NA
"APCL15_374248",2008,NA
"APCL15_374364",943,NA
"APCL15_372957",942,NA
"APCL15_372739",959,NA
"APCL15_373943",730,NA
"APCL15_370885",969,NA
"APCL15_371421",2009,NA
"APCL15_370935",2005,NA
"APCL15_371708",948,NA
"APCL15_375598",726,NA
"APCL15_375914",2010,NA
"APCL15_373373",1026,NA
"APCL15_376136",949,NA
"APCL15_373338",2011,NA
"APCL15_372147",2013,484
"APCL15_372744",2014,NA
"APCL15_373422",479,NA
"APCL15_373778",478,NA
"APCL15_375443",939,NA
"APCL15_003",2015,NA
"APCL15_402340",958,NA
"APCL15_004",2016,NA
"APCL15_404572",435,NA
"APCL15_400461",938,NA
"APCL15_401656",2017,NA
"APCL15_404045",416,NA
"APCL15_404526",915,NA
"APCL15_403698",879,NA
"APCL15_006",913,NA
"APCL15_405714",912,NA
"APCL15_010",428,NA
"APCL15_401616",2018,NA
"APCL15_404951",425,NA
"APCL15_011",427,NA
"APCL15_012",363,NA
"APCL15_407082",426,NA
"APCL15_014",910,360
"APCL15_402230",419,NA
"APCL15_405523",876,NA
"APCL15_402799",2019,NA
"APCL15_404741",909,NA
"APCL15_406037",417,NA
"APCL15_404305",415,NA
"APCL15_407477",414,NA
"APCL15_402921",2021,884
"APCL15_017",2022,NA
"APCL15_407028",919,NA
"APCL15_403879",887,NA
"APCL15_403040",921,NA
"APCL15_404854",881,NA
"APCL15_020",2023,NA
"APCL15_400948",878,NA
"APCL15_403889",1139,NA
"APCL15_404545",1138,NA
"APCL15_404653",2024,NA
"APCL15_403881",1143,NA
"APCL15_403391",827,NA
"APCL15_407622",2025,NA
"APCL15_403777",1134,NA
"APCL15_404371",2026,NA
"APCL15_022",2027,NA
"APCL15_402874",2028,NA
"APCL15_404845",2029,NA
"APCL15_023",2030,NA
"APCL15_406164",1133,NA
"APCL15_403102",NA,NA
"APCL15_403393",1105,NA
"APCL15_024",2031,NA
"APCL15_404146",1079,NA
"APCL15_404064",2032,NA
"APCL15_401458",1126,NA
"APCL15_399705",2033,NA
"APCL15_025",2034,NA
"APCL15_406317",1130,NA
"APCL15_353379",2035,NA
"APCL15_404287",2036,NA
"APCL15_399551",1131,NA
"APCL15_403215",2037,NA
"APCL15_404313",2038,890
"APCL15_403913",2040,NA
"APCL15_407401",2039,NA
"APCL15_407670",2041,NA
"APCL15_402724",1141,NA
"APCL15_026",2042,NA
"APCL15_375047",2043,NA
"APCL15_027",2044,NA
"APCL15_374339",890,NA
"APCL15_373511",2045,NA
"APCL15_374610",1082,NA
"APCL15_373624",2046,NA
"APCL15_374493",2047,NA
"APCL15_028",897,NA
"APCL15_029",2048,NA
"APCL15_030",665,NA
"APCL15_400205",1064,NA
"APCL15_405807",2049,NA
"APCL15_406535",2050,NA
"APCL15_032",1063,NA
"APCL15_400408",899,NA
"APCL15_033",2031,NA
"APCL15_375659",1144,NA
"APCL15_375999",NA,NA
"APCL15_034",2052,NA
"APCL15_035",NA,NA
"APCL15_401342",NA,NA
"APCL15_407223",1051,NA
"APCL15_036",650,NA
"APCL15_037",2053,NA
"APCL15_402770",2054,NA
"APCL15_038",2055,NA
"APCL15_039",2056,NA
"APCL15_040",2057,NA
"APCL15_041",2058,NA
"APCL15_399571",1098,NA
"APCL15_399642",1090,337
"APCL15_404585",2060,NA
"APCL15_404420",2059,NA
"APCL15_043",1122,NA
"APCL15_403892",1121,NA
"APCL15_044",2061,NA
"APCL15_045",1119,NA
"APCL15_046",2062,NA
"APCL15_047",1051,NA
"APCL15_401241",2063,NA
"APCL15_402618",1034,NA
"APCL15_401710",148,NA
"APCL15_048",1037,NA
"APCL15_403079",2064,NA
"APCL15_049",1040,NA
"APCL15_050",2065,NA
"APCL15_051",2066,NA
"APCL15_400642",2067,1055
"APCL15_405712",585,NA
"APCL15_405332",2068,NA
"APCL15_053",2069,NA
"APCL15_403943",2070,NA
"APCL15_405876",2071,NA
"APCL15_405124",2072,NA
"APCL15_406734",1043,NA
"APCL15_402586",1045,NA
"APCL15_402499",1047,NA
"APCL15_353383",2073,NA
"APCL15_403713",2075,NA
"APCL15_054",2074,NA
"APCL15_399744",2076,NA
"APCL15_055",1049,NA
"APCL15_400524",1101,NA
"APCL15_057",2077,NA
"APCL15_405915",2078,NA
"APCL15_402244",2079,NA
"APCL15_407118",2080,NA
"APCL15_405807",2081,NA
"APCL15_407451",2082,NA
"APCL15_406231",2083,NA
"APCL15_058",2084,NA
