"anem_table_id","sample_id","size","anem_id","old_anem_id"
1257,"APCL16_796",5.7,2578,NA
1267,"APCL16_799",8.4,2036,NA
1277,"APCL16_802",9.3,2035,NA
1287,"APCL16_803",8.4,2037,NA
1297,"APCL16_805",7.5,2579,NA
1301,"APCL16_809",7.8,2250,NA
1302,"APCL16_810",7.3,2248,NA
1304,"APCL16_811",9.2,2246,NA
1308,"APCL16_812",5.4,2582,689
1311,"APCL16_813",5.6,NA,NA
15,"APCL16_003",9.9,2175,NA
22,"APCL16_004",9,2177,494
25,"APCL16_007",6.8,2178,402
26,"APCL16_010",7.5,2179,810
35,"APCL16_014",9.2,2181,1018
40,"APCL16_020",8,2161,NA
48,"APCL16_017",9.1,2183,NA
51,"APCL16_022",9.8,2184,807
63,"APCL16_026",9.5,2187,NA
73,"APCL16_032",9.2,2191,NA
76,"APCL16_034",6.6,2002,NA
88,"APCL16_037",9.3,1027,NA
91,"APCL16_041",9.6,1033,NA
92,"APCL16_039",11.1,2005,NA
95,"APCL16_045",9.8,2003,NA
96,"APCL16_047",6.1,2192,NA
101,"APCL16_054",7.1,495,NA
102,"APCL16_053",9.6,2195,NA
104,"APCL16_056",10.3,2196,488
122,"APCL16_070",9.6,2014,NA
126,"APCL16_066",5.1,2201,960
128,"APCL16_069",8.6,2202,NA
131,"APCL16_078",4.4,2206,128
135,"APCL16_075",6.3,2204,NA
142,"APCL16_081",7.3,2207,727
144,"APCL16_084",3.5,2209,NA
148,"APCL16_087",8.9,971,NA
158,"APCL16_090",5.9,2211,NA
182,"APCL16_098",8.8,2216,476
189,"APCL16_100",5.6,2217,NA
199,"APCL16_106",4.5,2223,940
201,"APCL16_108",4.7,434,110
204,"APCL16_111",8.2,881,NA
215,"APCL16_114",10.5,2226,NA
218,"APCL16_116",6.5,2227,NA
225,"APCL16_119",6.8,2230,NA
230,"APCL16_122",8.8,2021,NA
242,"APCL16_128",9.6,2235,415
252,"APCL16_133",4,909,419
257,"APCL16_135",8.1,2238,359
277,"APCL16_142",3.8,2243,389
279,"APCL16_147",10.3,2246,849
282,"APCL16_151",3.9,2248,871
286,"APCL16_153",4.6,2250,904
302,"APCL16_157",4.9,2257,NA
313,"APCL16_164",6.3,2256,NA
317,"APCL16_166",8.7,2258,NA
322,"APCL16_169",9.3,2259,NA
330,"APCL16_173",7.1,2261,NA
333,"APCL16_176",8.9,2262,447
334,"APCL16_178",8.2,2263,445
338,"APCL16_180",3.8,2264,NA
350,"APCL16_186",10.7,2268,NA
352,"APCL16_189",10.8,2147,NA
353,"APCL16_188",9.8,2269,397
355,"APCL16_192",11.2,2270,NA
357,"APCL16_194",8,2271,1286
